Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Temperature
986,-330,16794,56,18,34,243
992,-336,16754,62,25,33,243
982,-336,16784,60,29,42,243
992,-358,16798,61,27,39,243
972,-370,16814,62,13,30,243
992,-376,16748,63,27,35,243
1012,-388,16780,61,25,38,243
988,-328,16806,66,25,33,243
990,-322,16796,52,35,35,243
980,-354,16764,66,33,31,243
992,-350,16798,60,25,28,243
980,-362,16806,63,28,29,243
972,-364,16776,66,21,31,243
982,-338,16796,58,28,34,243
978,-364,16762,65,28,32,243
1010,-366,16822,59,17,17,243
978,-348,16800,66,25,35,243
984,-332,16784,61,29,25,243
998,-348,16802,66,28,32,243
1012,-330,16800,60,33,32,243
992,-350,16782,59,32,35,243
962,-360,16772,60,34,29,243
994,-370,16814,50,37,36,243
986,-362,16814,67,25,32,243
1000,-346,16812,60,21,29,243
966,-352,16742,58,16,35,243
982,-358,16788,62,27,31,243
956,-364,16838,60,17,32,243
986,-352,16782,65,36,28,243
982,-372,16778,60,34,31,243
1000,-338,16778,63,31,37,243
968,-370,16816,60,29,27,243
978,-356,16788,58,30,36,243
990,-328,16736,65,30,35,243
982,-372,16794,54,25,30,243
974,-370,16808,60,22,31,243
1008,-352,16802,60,17,32,243
992,-346,16750,58,7,33,243
952,-350,16778,60,25,32,243
966,-354,16812,60,29,32,243
986,-364,16816,58,29,25,243
978,-342,16778,60,28,35,243
1000,-358,16804,60,28,39,243
1000,-348,16800,56,25,35,243
996,-344,16810,57,29,21,243
976,-374,16762,61,28,35,243
978,-370,16792,64,25,30,243
996,-336,16802,60,21,27,243
1008,-358,16784,69,17,39,243
996,-344,16798,64,16,32,243
1000,-314,16796,58,34,17,243
996,-356,16804,54,32,20,243
992,-354,16782,60,35,32,243
992,-344,16774,59,27,23,243
998,-350,16786,52,31,22,243
998,-352,16814,51,22,3,243
982,-350,16796,54,24,19,243
972,-354,16774,61,31,9,243
992,-346,16814,56,21,17,243
1006,-366,16814,60,17,11,243
1014,-362,16826,70,27,15,243
986,-340,16744,49,19,21,243
998,-368,16770,57,21,10,243
960,-376,16808,56,40,15,243
962,-344,16790,51,29,5,243
994,-360,16780,59,28,26,243
988,-360,16792,52,22,25,243
990,-350,16822,57,26,15,243
984,-344,16808,49,15,23,243
982,-384,16768,64,25,21,243
982,-360,16812,52,20,28,243
1002,-366,16806,54,24,25,243
984,-330,16792,50,25,20,243
964,-334,16748,40,22,-1,243
984,-382,16772,60,33,-8,243
1000,-354,16792,51,33,-15,243
986,-348,16806,50,34,-11,243
984,-374,16764,48,31,-5,243
992,-366,16784,50,22,-12,243
994,-344,16790,55,25,1,243
1004,-358,16764,57,24,8,243
988,-394,16790,55,22,10,243
984,-350,16784,50,29,3,243
996,-350,16796,61,30,15,243
972,-352,16780,52,35,21,243
976,-356,16746,67,21,21,243
994,-334,16786,62,39,18,243
1002,-366,16792,59,32,19,243
1000,-354,16806,61,28,32,243
978,-368,16764,58,21,28,243
1002,-366,16792,62,21,36,243
1000,-380,16800,58,15,26,243
998,-352,16806,65,31,35,243
974,-360,16770,69,16,26,243
982,-374,16770,66,29,32,243
984,-364,16814,62,25,29,243
974,-340,16798,49,32,37,243
948,-364,16772,58,29,32,243
986,-372,16800,61,27,33,243
998,-372,16814,67,31,38,243
970,-340,16794,61,32,34,243
1026,-350,16770,60,23,42,243
1000,-368,16794,56,16,26,243
976,-342,16800,60,14,32,243
988,-336,16800,50,18,28,243
996,-374,16750,67,20,28,243
982,-380,16798,53,37,36,243
1000,-340,16808,57,35,39,243
986,-340,16806,57,23,40,243
976,-350,16756,64,30,26,243
1004,-336,16786,65,32,35,243
986,-358,16792,64,25,39,243
990,-350,16784,58,15,39,243
984,-344,16794,70,16,36,243
988,-370,16814,57,17,33,243
964,-356,16806,56,24,29,243
978,-368,16822,58,25,32,243
1006,-372,16770,71,34,32,243
992,-326,16806,64,23,42,243
960,-356,16808,57,26,39,243
990,-358,16796,75,35,36,243
972,-350,16784,64,21,28,243
970,-370,16814,57,30,32,243
1000,-374,16786,59,24,32,243
974,-350,16792,61,29,40,243
988,-362,16782,58,28,35,243
992,-370,16792,63,17,32,243
986,-358,16782,62,37,29,243
984,-356,16794,62,29,32,243
982,-372,16778,55,36,39,243
990,-378,16814,71,27,39,243
1002,-372,16796,64,32,40,243
966,-336,16792,62,35,34,243
964,-372,16776,60,17,33,243
994,-374,16788,54,21,38,243
992,-360,16814,60,28,30,243
1006,-344,16762,60,27,25,243
984,-376,16772,57,28,34,243
972,-380,16804,64,26,36,243
1000,-368,16800,58,33,28,243
988,-372,16784,57,27,36,243
1000,-348,16762,64,46,35,243
966,-350,16780,56,35,14,243
994,-362,16830,53,22,11,243
978,-400,16816,54,24,7,243
964,-350,16762,54,25,7,243
960,-366,16780,44,23,1,243
1006,-344,16800,49,20,-27,243
964,-358,16796,49,28,-21,243
980,-380,16750,48,25,-16,243
994,-344,16814,48,28,-14,243
966,-380,16792,49,29,-24,243
972,-344,16792,42,35,-35,243
974,-342,16750,46,32,-23,243
972,-352,16800,43,42,-18,243
978,-370,16816,32,34,-35,243
974,-376,16784,35,17,-33,243
1012,-342,16770,48,21,-15,243
978,-332,16804,48,18,2,243
